关键词,类型,来源,运行次数,累计新增条数,平均热度,命中率,首次发现,最近运行
弱者表达方式大全,候选,小红书大家都在搜(08-05run3:弱者表达页),0,0,—,—,2026-08-05,—
弱者表达能力训练题库,候选,小红书大家都在搜(08-05run3:弱者表达页),0,0,—,—,2026-08-05,—
宝洁八大问满分答案,候选,小红书大家都在搜(08-05run3:宝洁八大问页),0,0,—,—,2026-08-05,—
宝洁八大问英文,候选,小红书大家都在搜(08-05run3:宝洁八大问页),0,0,—,—,2026-08-05,—
企业谈薪,候选,小红书大家都在搜(08-05run3:谈薪实战案例页),0,0,—,—,2026-08-05,—
薪水谈判,候选,小红书大家都在搜(08-05run3:谈薪实战案例页),0,0,—,—,2026-08-05,—
职场上高情商说话技巧,候选,小红书大家都在搜(08-05run3:职场高情商表达页),0,0,—,—,2026-08-05,—
职场跨部门沟通话术,活跃,小红书大家都在搜(08-05run3:职场高情商表达页),1,14,"约317(6条样本:438/334/174/110/382/461,其余8条无热度数据)","候选首投14/20=70.0%(2026-08-05run4,远超40%阈值同轮升级为活跃)",2026-08-05,2026-08-05
hr面试和业务面的区别,候选,小红书大家都在搜(08-05run4:hr面和业务面区别问的问题验证页),0,0,—,—,2026-08-05,—
走定薪流程代表什么,候选,小红书大家都在搜(08-05run4:面试定薪页),0,0,—,—,2026-08-05,—
跨部门沟通与协作,候选,小红书大家都在搜(08-05run4:职场跨部门沟通话术页),0,0,—,—,2026-08-05,—
跨部门合作沟通话术,候选,小红书大家都在搜(08-05run4:职场跨部门沟通话术页),0,0,—,—,2026-08-05,—
面试失败的原因,候选,小红书大家都在搜(08-05run4:面试不合格的原因页),0,0,—,—,2026-08-05,—
面试合格后下一步是什么,候选,小红书大家都在搜(08-05run4:面试不合格的原因页),0,0,—,—,2026-08-05,—
空降新领导老员工怎么做,候选,小红书大家都在搜(08-05run4:新领导空降老员工如何应对验证页),0,0,—,—,2026-08-05,—
讲ppt声音抖怎么办,候选,小红书大家都在搜(08-05run4:讲PPT声音发抖怎么控制验证页),0,0,—,—,2026-08-05,—
越级汇报怎么跟领导说,活跃,小红书大家都在搜(08-05run4:刚换领导汇报节奏对不上验证页),1,10,约6274(2条XHS样本:12000/548),"首投run1_50.0%(10新/20抓,原始命中17/20≈85.0%按上限截取;远超40%阈值,同轮升级为活跃)",2026-08-05,2026-08-06
职场大白话高级表达,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
职场高级表达大全,活跃,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),1,8,—,"首投run2_8/16=50.0%(2026-08-07;候选首投超40%阈值升级活跃,新增含职场中更senior的表达方式/听不懂职场黑话翻译成人话/字少惊艳4.9万赞等); 前值:—",2026-08-06,2026-08-07
面试练习,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),1,7,约4013(6条XHS样本:4187/874/112/791/18000/115),"首投run1_30.4%(7新/23抓,未达40%阈值,维持候选)",2026-08-06,2026-08-06
面试时不该说的话术,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
口头说面试通过了,活跃,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),1,17,—,"首投run2_17/17=100%(2026-08-07;候选首投满贯命中,远超40%阈值升级活跃;重要发现=搜索结果实际语义漂移为""口头offer""生态而非""口头通知面试通过"",内容多为口头offer被鸽/多久转正式offer经历贴,与原词本义有偏差,后续选题需以""口头offer""角度切入); 前值:—",2026-08-06,2026-08-07
面试答复,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
hr问有offer为什么来面试,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
应届生面试被问有没有其他offer,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
hr问其他公司进程怎么回答,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
工资怎么谈话术,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
问薪酬待遇话术,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
薪资待遇怎么说,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
回复薪资话术,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
接到谈薪电话,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
定薪电话怎么沟通,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
自我介绍不能透露个人信息,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
面试可以说自己是党员吗,候选,小红书大家都在搜(08-06run1:根词收集页搜索建议面板),0,0,—,—,2026-08-06,—
职场语言艺术搞笑段子,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
职场高情商段子,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
30秒定律,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
社招谈薪话术,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
争取offer薪酬话术,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
社招谈薪话术模板,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
简短汇报话术,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
向上汇报的技巧和话术模板,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
向上级汇报工作话术模板,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
向上汇报的万能模板话术技巧,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
汇报工作话术模版,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
怎么幽默回复同事,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
怎么风趣幽默的接话,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
社招能谈薪吗,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
社招如何谈薪资,候选,大家都在搜/相关搜索(2026-08-06新词收割),0,0,—,—,2026-08-06,—
hr面试话术模板,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
hr面试开场白怎么聊,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
面试练习软件,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
越级汇报模板,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
hr面试常用语,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
面试ai助手,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
hr面试语气,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
面试跟练,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
面试练习搭子,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
不小心越级汇报,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
不能越级汇报,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
面试练习群,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
面试每日一练,候选,小红书大家都在搜/相关搜索(2026-08-06 run3新词收割),0,0,—,—,2026-08-06,—
面对面试官的提问怎么回答,候选,面试什么话该说搜索结果-大家都在搜,0,0,—,,2026-08-07,
面试最忌讳什么,候选,面试什么话不能说搜索结果-大家都在搜,0,0,—,,2026-08-07,
怎么样才能改掉讨好型人格,候选,讨好型人格改掉搜索结果-相关搜索,0,0,—,,2026-08-07,
当讨好型人格开始觉醒,候选,讨好型人格改掉搜索结果-相关搜索,0,0,—,,2026-08-07,
讨好型人格的对立人格,候选,讨好型人格改掉搜索结果-相关搜索,0,0,—,,2026-08-07,
付出型和讨好型的区别,候选,讨好型人格改掉搜索结果-相关搜索,0,0,—,,2026-08-07,
讨好型人格的形成原因,候选,讨好型人格改掉搜索结果-相关搜索,0,0,—,,2026-08-07,
不要做讨好型人格,候选,讨好型人格改掉搜索结果-相关搜索,0,0,—,,2026-08-07,
数据分析结论怎么写,候选,结论原因建议汇报公式搜索结果-大家都在搜,0,0,—,,2026-08-07,
汇报结论原因方案公式,候选,结论原因建议汇报公式搜索结果-大家都在搜,0,0,—,,2026-08-07,
先分析再给结论的汇报方式,候选,结论原因建议汇报公式搜索结果-大家都在搜,0,0,—,,2026-08-07,
讨论与结论怎么写,候选,结论原因建议汇报公式搜索结果-大家都在搜,0,0,—,,2026-08-07,
汇报分析结论,候选,结论原因建议汇报公式搜索结果-大家都在搜,0,0,—,,2026-08-07,
汇报技巧先说结论,候选,结论原因建议汇报公式搜索结果-大家都在搜,0,0,—,,2026-08-07,
工作汇报用语,候选,高质量汇报话术搜索结果-大家都在搜,0,0,—,,2026-08-07,
公司汇报话术,候选,高质量汇报话术搜索结果-大家都在搜,0,0,—,,2026-08-07,
万能汇报话术,候选,高质量汇报话术搜索结果-大家都在搜,0,0,—,,2026-08-07,
职场汇报话术大全,候选,高质量汇报话术搜索结果-大家都在搜,0,0,—,,2026-08-07,
表达框架模板,候选,表达框架搜索结果-大家都在搜,0,0,—,,2026-08-07,
表达框架训练,候选,表达框架搜索结果-大家都在搜,0,0,—,,2026-08-07,
常用表达结构,候选,表达框架搜索结果-大家都在搜,0,0,—,,2026-08-07,
表达系统搭建方法,候选,表达框架搜索结果-大家都在搜,0,0,—,,2026-08-07,
万能表达框架模板,候选,表达框架搜索结果-相关搜索,0,0,—,,2026-08-07,
结构表达,候选,表达框架搜索结果-相关搜索,0,0,—,,2026-08-07,
讲话思维框架,候选,表达框架搜索结果-相关搜索,0,0,—,,2026-08-07,
面试时不能透露个人信息,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
改掉身上弱者的气息,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
工作中不要散发弱者气息,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
弱者气息的表现及改掉方法,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
如何消减弱者气息,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
不要有弱者心态,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
弱者气息书,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
怎么摆脱自己的弱者气息,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
弱者气息的表现及克服方法,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
正常人面试状态,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
面试中的活人感,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
面试活人感强技巧,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
面试怎么有活人感,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
面试怎么显得有活人感,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
工作的高级说法,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
职场高级词汇,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
职场新式表达大全,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
打工人高级说法,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
职场高级表达方式,候选,小红书大家都在搜/相关搜索面板(2026-08-07 run2),0,0,,,2026-08-07,
hr口头承诺,候选,"小红书大家都在搜(2026-08-07 run3,hr暗示词根)",0,0,,,2026-08-07,
应届生谈薪指南,活跃,"小红书大家都在搜(2026-08-07 run3,应届生怎么谈薪词根)",1,12,约246(6条XHS样本:7/186/9/28/8/1240),"run4候选首投_12/12=100%(2026-08-07;远超40%阈值,同轮升级为活跃;与谈薪母题高度相关但角度聚焦应届生,供给充沛); 前值:",2026-08-07,2026-08-07
hr已经暗示你了,活跃,"小红书大家都在搜(2026-08-07 run3,hr暗示词根)",1,11,约693(8条XHS样本:7/5/23/24/73/846/3437/1132),"run4候选首投_11/12≈91.7%(2026-08-07;远超40%阈值,同轮升级为活跃;与今日已升级的hr暗示词根高度同源,供给同样充沛); 前值:",2026-08-07,2026-08-07
行为面试问题及答案,候选,"小红书大家都在搜(2026-08-07 run4,行为面试法词根)",0,0,,,2026-08-07,
行为面试技巧,候选,"小红书大家都在搜(2026-08-07 run4,行为面试法词根)",0,0,,,2026-08-07,
行为面试法是什么意思,候选,"小红书大家都在搜(2026-08-07 run4,行为面试法词根)",0,0,,,2026-08-07,
行为面试法培训,候选,"小红书大家都在搜(2026-08-07 run4,行为面试法词根)",0,0,,,2026-08-07,
聊天幽默接梗技巧,候选,"小红书大家都在搜(2026-08-07 run4,万能接话词根)",0,0,,,2026-08-07,
万能沟通公式,候选,"小红书大家都在搜(2026-08-07 run4,万能接话词根)",0,0,,,2026-08-07,
hr会暗示你通过吗,候选,"小红书大家都在搜(2026-08-07 run4,hr已经暗示你了词根)",1,7,"约900(7条样本含1条5904赞真正想招你的人拉高均值,其余多为百位数)","run1(候选首投)_7/18≈38.9%(2026-08-08;7条新增,略低于40%阈值暂不升级活跃,但已明确高于候选平均水平,建议下次长空档复查作为活跃候补优先复投)",2026-08-07,2026-08-08
面试官让我等hr通知,候选,"小红书大家都在搜(2026-08-07 run4,hr已经暗示你了词根)",0,0,,,2026-08-07,
应届生hr谈薪,候选,"小红书大家都在搜(2026-08-07 run4,应届生谈薪指南词根)",1,3,约650(3条样本127/1590/257),"run1(候选首投)_3/18≈16.7%(2026-08-08;搜索结果语义漂移为泛化'谈薪资'内容而非'应届生'细分角度,与08-07run4首投100%的'应届生谈薪指南'词根形成对比,建议后续优先复投应届生谈薪指南而非本词)",2026-08-07,2026-08-08
应届毕业生能谈薪吗,候选,"小红书大家都在搜(2026-08-07 run4,应届生谈薪指南词根)",0,0,,,2026-08-07,
应届生定薪,候选,"小红书大家都在搜(2026-08-07 run4,应届生谈薪指南词根)",0,0,,,2026-08-07,
秋招面试技巧,活跃,"小红书大家都在搜(2026-08-08,面试技巧词根)",2,13,—(web-only),2026-08-15run2:100.0%(6新/6抓;web-only;100%(6/6)；08-15run1已录63.6%(7/11)，两轮独立web样本累计13/17=76.5%，远超40%阈值，叠加8月中旬秋招提前批时令高峰，本轮升级为活跃（web-only升级，已在日志注明，待XHS恢复后复核）),2026-08-08,2026-08-15
云雨伞分析,候选,"小红书大家都在搜(2026-08-08,云雨伞汇报法词根)",0,0,,,2026-08-08,
汇报方法,候选,"小红书大家都在搜(2026-08-08,云雨伞汇报法词根)",0,0,,,2026-08-08,
职场新人谈薪,候选,"小红书大家都在搜(2026-08-08,应届生hr谈薪词根)",0,0,,,2026-08-08,
00后谈薪方法,候选,"小红书大家都在搜(2026-08-08,应届生hr谈薪词根)",0,0,,,2026-08-08,
接到offer谈薪,候选,"小红书大家都在搜(2026-08-08,应届生hr谈薪词根)",1,2,—(web-only),run1(2026-08-15)_2/6=33.3%; ,2026-08-08,2026-08-15
入职怎么谈薪,候选,"小红书大家都在搜(2026-08-08,应届生hr谈薪词根)",0,0,,,2026-08-08,
hr应届生薪酬,候选,"小红书大家都在搜(2026-08-08,应届生hr谈薪词根)",0,0,,,2026-08-08,
毕业生谈薪,候选,"小红书大家都在搜(2026-08-08,应届生需要谈薪吗验证词)",0,0,,,2026-08-08,
应届毕业生谈薪,候选,"小红书大家都在搜(2026-08-08,应届生hr谈薪词根)",0,0,,,2026-08-08,
应届hr薪资水平,候选,"小红书大家都在搜(2026-08-08,应届生hr谈薪词根)",0,0,,,2026-08-08,
应届生面试谈薪,候选,"小红书大家都在搜(2026-08-08,应届生hr谈薪词根)",0,0,,,2026-08-08,
prep万能公式,候选,大家都在搜,0,0,—,—,2026-08-08,—
prep法则是什么,候选,大家都在搜,0,0,—,—,2026-08-08,—
prep表达模型,候选,大家都在搜,0,0,—,—,2026-08-08,—
面试如何装出松弛感,候选,大家都在搜,0,0,—,—,2026-08-08,—
面试装松弛感技巧,候选,大家都在搜,0,0,—,—,2026-08-08,—
半导体面试自我介绍,候选,大家都在搜,0,0,—,—,2026-08-08,—
面试一般要说些什么,候选,大家都在搜,0,0,—,—,2026-08-08,—
面试通过要问什么问题,候选,大家都在搜,0,0,—,—,2026-08-08,—
面试什么能说什么不能说,候选,小红书大家都在搜(面试什么话不能说/事业单位面试不能说什么两页共同出现),0,0,—,—,2026-08-08,—
面试对自己的职业规划,候选,小红书大家都在搜(面试职业规划怎么说搜索页),0,0,—,—,2026-08-08,—
职场真实表达技巧,候选,小红书大家都在搜(职场委婉表达技巧搜索页),0,0,—,—,2026-08-08,—
职场表达情商技巧,候选,小红书大家都在搜(职场委婉表达技巧搜索页),0,0,—,—,2026-08-08,—
面试反问环节,退休,大家都在搜(去面试要问清楚哪些问题结果页),1,0,—,"run1_0%(0新/7抓;web;候选首投,检索结果全部与活跃词""面试反问""历史收录高度重叠,建议后续与""面试反问""合并不单列候选)",2026-08-08,2026-08-09
薪酬谈判策略,候选,大家都在搜(薪资谈判技巧与策略结果页),1,5,—,"run1_83.3%(5新/6抓;web;候选首投,mokahr/do1/知乎九步曲[438997789]/中略咨询/keycourse共5条新增,本轮全场最高命中率,建议下轮结合小红书交叉验证后升级活跃",2026-08-08,2026-08-09
薪资谈判顺序,候选,大家都在搜(薪资谈判技巧与策略结果页),0,0,—,—,2026-08-08,—
薪酬谈判九步曲,退休,"WebSearch(知乎438997789,薪酬谈判策略验证结果)",1,本轮新增0条; 前值:0,—,"run1_首投0/0=0%(2026-08-11;小红书精确关键词搜索无任何结果返回,判定该候选词非真实XHS搜索习惯用语[原为知乎标题衍生]);run2_退休(2026-08-11;确认0搜索结果非真实用户搜索用语,按建议标记退休不再复投)",2026-08-09,2026-08-11
说话有分寸技巧,候选,"WebSearch(知乎441681207,职场表达根词结果)",0,0,—,—,2026-08-09,—
职场委婉语手册,活跃,"WebSearch(中新网,职场强势表达根词结果)",1,本轮新增6条(XHS4+web2); 前值:0,约12(XHS4条样本:32/2/15/0),"run1_首投XHS4/6≈66.7%+web2/5=40%,合计6/11≈54.5%(2026-08-11;超40%阈值同轮升级为活跃;新增职场沟通的加分项话术32赞/把嗯嗯好哒换成这4句话后同事开始尊重我了15赞/如何礼貌委婉地拒绝上级领导的加班要求等,供给以'委婉拒绝/礼貌用语替换'角度为主,与既有活跃词职场委婉表达/职场委婉表达技巧重叠度需后续观察)",2026-08-09,2026-08-11
结构化思维表达,候选,WebSearch(金字塔原理根词相关搜索),0,0,—,—,2026-08-09,—
会议发言技巧,活跃,"web搜索标题(打草稿能力轮衍生,知乎会议五分钟发言问题)",1,"本轮新增10条(原始12新/17抓,按上限截取记录); 前值:0",—,run1_首投12/17≈70.6%(2026-08-11;远超40%阈值同轮升级为活跃;新增含2条1小时内新发[会议发言怎么讲话-明亮的铭昨天18:14/如何在正式场合发言-叶子社会化指南43分钟前]及多条中高赞[外企Presentation九大环节必备口语表达1552赞/咨询技能之Junior如何在客户会议里讲话1093赞/我发现一个发言不紧张的秘诀1863赞]),2026-08-09,2026-08-11
面试话术模板大全,候选,web搜索标题(视频面试开场白轮域名高频出现:简历网/YY简历网等模板站点集群),0,0,—,"候选新发现(2026-08-09;来自视频面试开场白轮web结果关联发现,未试投)",2026-08-09,—
无领导小组抢话怎么办,活跃,"评论区原话衍生(无领导小组群面技巧轮,Airn评论:十二人无编号群面抢话混乱)",1,本轮新增11条(XHS6+web5); 前值:0,"约4(XHS6条样本:23/0/1/0/0/0,低赞新发为主)","run1_首投XHS6/6=100%+web5/6≈83.3%,合计11/12≈91.7%(2026-08-11;远超40%阈值同轮升级为活跃;来源评论区原话衍生[无领导小组群面技巧轮,Airn评论];新增群面所有人都急着表现自己23赞/HR说无领导小组讨论角色终极抢攻略/群面别再抢Leader这样做稳拿高分等,与词库长句'群面抢不上话怎么办'本轮同步验证通过高度同源,后续选题需二选一避免重复投放)",2026-08-11,2026-08-11
群面没编号怎么发言,活跃,无领导小组群面技巧轮相关搜索/大家都在搜,1,"run4(2026-08-13)候选首投新增8条(8/8=100%,相关性过滤后;原始命中8/20=40.0%,过滤12条无关内容[群面暗示结果/职场吐槽段子/加拿大生活等]后剩8条全部相关且全部为新增笔记); ","约13880(8条样本,含9.3万拉高;去除拉高样本后中位数偏低多在个位数到三位数)","run4(2026-08-13)_8/8=100%(候选首投,综合排序;直接命中留学生小组讨论不敢说话5句话救场11赞/群面也是面试插不上话先别抢C位3赞等,与本账号持续标记的'十几人无编号完全失序群面'答案空缺高度吻合);远超40%阈值同轮升级为活跃",2026-08-11,2026-08-13
SCQA模型案例,候选,SCQA轮大家都在搜,0,0,—,—,2026-08-11,—
麦肯锡SCQA模型,候选,SCQA轮大家都在搜,0,0,—,—,2026-08-11,—
会议发言公式,候选,会议发言技巧轮大家都在搜,0,0,—,—,2026-08-11,—
如何做好会议发言,候选,会议发言技巧轮大家都在搜,0,0,—,—,2026-08-11,—
面试通关话术模板,候选,面试什么话该说轮相关搜索,0,0,—,—,2026-08-11,—
职场沟通逻辑,候选,职场表达轮大家都在搜,1,run3(2026-08-12)候选首投_web-only新增1条(1/6≈16.7%),run3均值—(web-only无点赞数据),"run3(2026-08-12)_1/6≈16.7%(候选首投,web-only;新增职场发展职场上如何提高沟通效率[知乎]1条,过滤5条重复[秒懂职场汇报沟通3个底层逻辑/职场沟通篇/10个句式/8个要点/如何高效沟通六诀窍];未达40%阈值不升级为活跃,因XHS未登录数据不完整,建议下次XHS恢复后重投)",2026-08-11,2026-08-12
面试松弛感秘诀,候选,面试技巧轮大家都在搜,1,run3(2026-08-12)候选首投_web-only新增3条(3/12=25.0%),run3均值—(web-only无点赞数据),"run3(2026-08-12)_3/12=25.0%(候选首投,web-only;新增求职面试很紧张如何缓解压力教你3个方法[知乎]/放轻松6招教你缓解面试紧张感[知乎]/面试指导第一次面试紧张是你吗[知乎]共3条,过滤9条重复[为何面试官越来越看重松弛感/临场发挥小技巧/克服面试紧张9种方法/教你如何治愈面试紧张症/2026年面试技巧6个实战要点等];未达40%阈值不升级,因XHS未登录本轮无法验证真实笔记供给,建议下次连接后复投)",2026-08-11,2026-08-12
超简短自我介绍,候选,简单大气的自我介绍轮大家都在搜,0,0,—,—,2026-08-11,—
高质量自我介绍,候选,简单大气的自我介绍轮大家都在搜,0,0,—,—,2026-08-11,—
大方得体的自我介绍,候选,简单大气的自我介绍轮大家都在搜,0,0,—,—,2026-08-11,—
简短的自我介绍,候选,简单大气的自我介绍轮大家都在搜,0,0,—,—,2026-08-11,—
独一无二的自我介绍,候选,简单大气的自我介绍轮大家都在搜,0,0,—,—,2026-08-11,—
scqa原则,候选,SCQA模型职场汇报怎么用验证页大家都在搜,0,0,—,—,2026-08-11,—
scqa模型汇报话术,候选,SCQA模型职场汇报怎么用验证页大家都在搜,0,0,—,—,2026-08-11,—
scqa结构化表达模型ppt,候选,SCQA模型职场汇报怎么用验证页大家都在搜,0,0,—,—,2026-08-11,—
怎么练群面,候选,群面抢不上话怎么办验证页大家都在搜,0,0,—,—,2026-08-11,—
职场破局话术大全,活跃,职场反pua经典话术相关搜索(2026-08-11),1,0; run(08-12)新增18条(69.2%),— | run(08-12)均值约8495(样本:39000/231/6278/15000/292/12000/9136/1405/38/11000),"— | run(2026-08-12)候选首投_18/26=69.2%(远超40%阈值,同轮升级为活跃;综合排序,新增职场万用术你学会了吗39000赞/真正的反击不是掀桌子而是不入局231赞/避免背锅的万能话术9136赞等,供给以'反击/破局/万用话术'角度为主,与既有活跃词'职场高情商表达'簇有中度重叠需后续选题去重)",2026-08-11,2026-08-12
职场话术反制技巧,活跃,职场反pua经典话术相关搜索(2026-08-11),1,0; run(08-12)新增16条(59.3%),— | run(08-12)均值约5534(样本:210/4906/155/1228/1736/61000/327/1898/68/31),"— | run(2026-08-12)候选首投_16/27=59.3%(远超40%阈值,同轮升级为活跃;综合排序,新增如何高情商回怼他人带恶意的表达61000赞/白女同事亲授的say no技巧4906赞/被泼脏水时三招让他瞬间闭嘴1898赞等,与'职场破局话术大全'今日同轮首投存在约30%笔记池重叠[职场万用术/最好的反击/外企英语100句礼貌发飙3条已计入前者,本词已排除],后续选题需二选一避免重复投放)",2026-08-11,2026-08-12
面试官的暗语,候选,面试潜台词相关搜索(2026-08-11),0,0,—,—,2026-08-11,—
结构化表达模型,候选,结构化表达相关搜索(2026-08-11),0,0,—,—,2026-08-11,—
结构化表达的案例,候选,结构化表达相关搜索(2026-08-11),0,0,—,—,2026-08-11,—
直接拒绝话术,候选,大家都在搜(拒绝领导找你帮忙的话术验证时收割),0,0,—,—,2026-08-11,—
婉拒领导话术,候选,大家都在搜(拒绝领导找你帮忙的话术验证时收割),0,0,—,—,2026-08-11,—
求人帮忙的幽默话术,候选,大家都在搜(拒绝领导找你帮忙的话术验证时收割),0,0,—,—,2026-08-11,—
无领导小组模拟题库,活跃,无领导小组讨论模拟轮大家都在搜,2,"run(2026-08-13)新增8条(8/8=100%,升级为活跃); run4(2026-08-12)候选首投_web-only新增5条(5/7≈71.4%);新增请写出最经典的无领导小组讨论题目/有哪些比较好的无领导小组讨论试题[知乎]/HR系列无领导小组讨论经典题目及参考答案[知乎]/无领导小组讨论面试题及答案整理[CSDN]/无领导小组讨论面试真题分类精讲[PreTalent],过滤2条与前序重复;命中率远超40%阈值但因XHS未登录样本不完整,暂不升级为活跃,标记'强候补'待XHS恢复登录后复投确认",—(web-only无点赞数据),"run(2026-08-13)_8/8=100%(XHS已登录复投,真实小红书数据;新增深南电路群面无领导小组面试高频考点121题/2026年腾讯行政岗面试经典高频127题目/无领导小组面试常见话术(三)45赞/校招群面无领导小组讨论每周模拟7赞等;此前run4[08-12]为web-only71.4%强候补,本轮XHS真实登录数据远超40%阈值,确认升级为活跃) | 71.4%(5/7,候选首投,web-only,强候补待XHS复投确认)",2026-08-12,2026-08-13
求职面试高频题库,候选,面试高频题型轮大家都在搜,1,0; run3(08-13)新增7条,"约282(5条有效样本:205/166/727/126/184,2条无点赞数据) | 前值见历史","run3(2026-08-13)_候选首投(08-12新收割,今日未测试过)_7/20=35.0%(XHS已登录真实数据;新增FP&A面试高频题/AI Engineer面试建议这样准备/Google高频leetcode题目/dataanalyst面试不背题真的寸步难行等,未达40%阈值,维持候选状态待下轮复投) | 前值:—",2026-08-12,2026-08-13
职场万能反击话术,候选,职场破局话术大全/职场话术反制技巧轮大家都在搜,0,0,—,—,2026-08-12,—
职场反驳话术技巧,候选,职场话术反制技巧轮大家都在搜,0,0,—,—,2026-08-12,—
